lat,lon,flood_heig,elevation,precipitat,elevation_bin,precip_bin,flood_risk_index
14.60051912,120.9966741,0,7.57638406754,8.0,Low,Low,1.2984513208731325
14.657755,120.9485029,0,6.06325435638,9.0,Low,Low,1.362547200196495
14.69149523,121.123108,0,17.1396636963,17.0,Moderate,High,1.6228859078888036
14.63501272,121.0067593,0,15.3296909332,8.0,Moderate,Low,1.2140237060856005
14.70836282,120.9384916,0,2.56843996048,10.0,Very Low,Low,1.4482221185147672
14.70822792,120.9382234,0,2.56843996048,9.0,Very Low,Low,1.4006030708957196
14.7080982,120.9379659,0,2.56843996048,9.0,Very Low,Low,1.4006030708957196
14.61926146,120.9654923,0,6.74146175385,8.0,Low,Low,1.3075429898473019
14.61699829,120.975041,0,7.33788633347,8.0,Low,Low,1.3010483798014907
14.53430285,120.9982596,0,7.59381866455,7.0,Low,Low,1.2506424237529832
14.53429506,120.9982649,0,7.59381866455,7.0,Low,Low,1.2506424237529832
14.75409159,120.9463342,0,5.65578079224,11.0,Low,Moderate,1.4622223726334411
14.70891599,120.9436068,0,3.20402264595,10.0,Very Low,Low,1.4413011064789667
14.56513322,121.0035934,0,6.82370185852,7.0,Low,Low,1.2590284100382518
14.45942061,120.9596904,0,6.3101773262,6.0,Low,Low,1.2170012540017092
14.45927387,120.9595965,0,6.49346590042,6.0,Low,Low,1.215005380833353
14.56089139,121.0134338,0,22.4231185913,7.0,Moderate,Low,1.0891626263610283
14.58104628,121.0331373,0,10.9345254898,8.0,Low,Low,1.2618837149066573
14.55686701,121.0056237,0,7.75305461884,7.0,Low,Low,1.248908465321818
14.5627268,120.9951814,0,9.29846954346,7.0,Low,Low,1.232080072198284
14.56272161,120.9953074,0,9.29846954346,7.0,Low,Low,1.232080072198284
14.73533959,120.9492002,0,5.21255731583,10.0,Low,Low,1.4194296915673377
14.73513985,120.9494014,0,5.23551034927,10.0,Low,Low,1.4191797504907036
14.70823066,120.9437285,0,3.1090657711,10.0,Very Low,Low,1.4423351146241585
14.71087685,120.9440289,0,3.35215806961,10.0,Very Low,Low,1.4396880243835646
14.71123745,120.9416203,0,3.23195266724,10.0,Very Low,Low,1.440996969790024
14.43296249,120.9851779,0,17.18009758,7.0,Moderate,Low,1.146255137457878
14.46478906,120.9842004,0,9.6499376297,6.0,Low,Low,1.1806338044382914
14.56681532,121.133025,0,14.0864591599,14.0,Low,Moderate,1.5132758402388125
14.67749104,120.9621929,0,4.97637224197,9.0,Very Low,Low,1.374382519765915
14.67623521,120.9628902,0,5.71749019623,9.0,Low,Low,1.3663123089205895
14.67671263,120.9629439,0,5.5337305069,9.0,Low,Low,1.3683133121741746
14.65398715,120.9889908,0,24.5386276245,9.0,Moderate,Low,1.1613644372330785
14.6863504,121.0897453,0,89.5149230957,14.0,Very High,Moderate,0.6919172370610585
14.56686205,121.1329231,0,14.0864591599,14.0,Low,Moderate,1.5132758402388125
14.56655592,121.1344121,0,14.8742246628,15.0,Low,Moderate,1.5523167206868531
14.72120554,121.1362759,0,19.222492218,21.0,Moderate,Very High,1.7906816799131695
14.63252409,121.1226183,0,20.3677806854,15.0,Moderate,Moderate,1.4924960738678759
14.63300818,121.0168341,0,15.4814777374,8.0,Moderate,Low,1.2123708632332704
14.71535897,120.9523292,0,4.63814544678,10.0,Very Low,Low,1.4256845999373822
14.71536935,120.9523399,0,4.63814544678,10.0,Very Low,Low,1.4256845999373822
14.72185927,121.1307708,0,16.0416965485,20.0,Moderate,High,1.7776990778979729
14.64499803,120.9570323,0,5.5766749382,9.0,Low,Low,1.3678456799798235
14.63449554,121.0091986,0,12.5449790955,8.0,Low,Low,1.2443471000130253
14.63785157,120.9738413,0,7.25189399719,8.0,Low,Low,1.3019847709398684
14.7185091,121.1356728,0,18.1766529083,21.0,Moderate,Very High,1.802070074555472
14.69196007,120.9966771,0,20.376411438,10.0,Moderate,Low,1.2543068534411672
14.65295922,121.096949,0,10.2427883148,13.0,Low,Moderate,1.5075114447189177
14.65176293,121.0977403,0,11.1843156815,13.0,Low,Moderate,1.4972589277987196
14.548539,121.0891794,0,6.66783046722,11.0,Low,Moderate,1.4512019214136525
14.61066001,120.9872903,0,8.62410545349,8.0,Low,Low,1.2870424318519298
14.68471453,121.0257286,0,35.59765625,10.0,High,Low,1.0885590743527325
14.57464229,121.0092495,0,8.03537750244,7.0,Low,Low,1.2458341838474374
14.57530424,121.0098799,0,8.03537750244,8.0,Low,Low,1.293453231466485
14.57574554,121.0094051,0,7.89131116867,8.0,Low,Low,1.2950220042678375
14.7519308,120.9542645,0,7.12374591827,11.0,Low,Moderate,1.4462373489100906
14.75236137,120.952226,0,6.69640541077,11.0,Low,Moderate,1.4508907620118108
14.35745319,121.0572052,0,11.5457544327,12.0,Low,Moderate,1.4457040870807614
14.62353318,121.1178549,0,14.4303712845,14.0,Low,Moderate,1.5095308987732436
14.57479804,120.9834628,0,11.9547481537,8.0,Low,Low,1.2507742660537096
14.62154625,121.1104721,0,12.8605651855,14.0,Low,Moderate,1.5266248932344326
14.61172899,121.023315,0,11.4918403625,8.0,Low,Low,1.2558149798232985
14.40675203,120.9438237,0,20.7598991394,7.0,Moderate,Low,1.1072738211873394
14.42190457,120.946237,0,15.2843694687,6.0,Moderate,Low,1.1192791271254898
14.45863466,120.9591467,0,6.24678039551,6.0,Low,Low,1.2176915983587362
14.66451206,121.0389362,0,41.6394271851,9.0,High,Low,0.9751497364767148
14.66473002,121.0402988,0,41.9759597778,9.0,High,Low,0.9714851525008414
14.59210079,121.0839157,0,10.5098218918,11.0,Low,Moderate,1.4093655569266357
14.52805462,121.0227297,0,10.8176393509,7.0,Low,Low,1.2155374684394329
14.59237334,121.0840205,0,10.5098218918,11.0,Low,Moderate,1.4093655569266357
14.59180488,121.0842644,0,10.5098218918,11.0,Low,Moderate,1.4093655569266357
14.59466354,121.1155723,0,11.1901655197,13.0,Low,Moderate,1.4971952275099685
14.44946124,120.9439163,0,6.44175100327,6.0,Low,Low,1.2155685167302042
14.46614089,121.0344194,0,27.0606937408,8.0,Moderate,Low,1.0862820078306066
14.75216092,120.952374,0,6.69640541077,11.0,Low,Moderate,1.4508907620118108
14.67215993,120.9683785,0,8.35380554199,9.0,Low,Low,1.3376048399235736
14.36825074,121.054826,0,10.5946702957,11.0,Low,Moderate,1.4084416223418283
14.57872145,121.1216673,0,12.2879905701,14.0,Low,Moderate,1.5328597953095997
14.64112816,121.0732883,0,58.6114044189,10.0,Very High,Low,0.8379568604990741
14.6199023,121.121044,0,13.4790678024,14.0,Low,Moderate,1.5198898701546684
14.66103754,120.9748046,0,16.0145339966,9.0,Moderate,Low,1.2541853336194537
14.55389717,121.0054628,0,6.97448205948,7.0,Low,Low,1.257386528329607
14.63653547,121.0132089,0,15.1381034851,8.0,Moderate,Low,1.216109947678585
14.66414878,121.1078797,0,17.1332168579,14.0,Moderate,Moderate,1.480098966198526
14.67305512,121.0250527,0,33.3223114014,9.0,High,Low,1.065716801562143
14.43034161,121.013403,0,35.4899864197,8.0,High,Low,0.99449342167551
14.68285158,121.0333626,0,43.4187049866,10.0,High,Low,1.003393802113508
14.68297613,121.0332982,0,43.6540641785,10.0,High,Low,1.0008309195222815
14.70503963,121.0782681,0,69.3835906982,14.0,Very High,Moderate,0.9111321354605707
14.70948522,121.0474565,0,43.3300704956,12.0,High,Moderate,1.0995970595453224
14.60930258,120.9872447,0,9.08021640778,8.0,Low,Low,1.2820757304667794
14.62488259,121.00619,0,15.9592218399,8.0,Moderate,Low,1.2071685933177674
14.70502925,121.0782574,0,69.3835906982,14.0,Very High,Moderate,0.9111321354605707
14.58247916,120.984761,0,10.0827713013,8.0,Low,Low,1.2711586701955866
14.58007024,120.987867,0,9.65927791595,8.0,Low,Low,1.2757701910631223
14.75267967,120.9491017,0,6.00665044785,11.0,Low,Moderate,1.4584016689469048
14.75255517,120.9521809,0,6.80469942093,11.0,Low,Moderate,1.4497115226069988
14.75257499,120.9505554,0,6.43904018402,11.0,Low,Moderate,1.4536932735852908
14.67108622,121.1064202,0,18.4652366638,14.0,Moderate,Moderate,1.4655942836146365
14.59447665,121.0223495,0,9.85855484009,8.0,Low,Low,1.2736002169244933
14.68290017,120.937559,0,6.48295354843,9.0,Low,Low,1.3579769952082237
14.62413963,120.98696,0,6.80776309967,8.0,Low,Low,1.3068210186185378
14.44385605,120.924878,0,6.8370013237,6.0,Low,Low,1.211264541358649
14.57516147,121.0926206,0,7.53905963898,11.0,Low,Moderate,1.4417148983692276
14.52596257,121.0744821,0,5.98971939087,9.0,Low,Low,1.3633479400419652
14.52637021,121.0745116,0,5.98971939087,9.0,Low,Low,1.3633479400419652
14.61932613,120.9818481,0,6.37691402435,8.0,Low,Low,1.311512637355285
14.62183843,120.9820627,0,6.28364562988,8.0,Low,Low,1.3125282592333565
